log_id,timestamp,user_id,event_type,exp_delta,total_exp,level,message
1,2024-11-03 08:24:00,leo,create_study_plan,0,0,1,2024-11-03 08:24:00 - user leo created a new study plan.
2,2024-11-09 02:34:00,he,update_profile,0,0,1,2024-11-09 02:34:00 - user he updated profile information.
3,2024-11-10 01:15:00,leo,complete_lesson,15,15,1,2024-11-10 01:15:00 - user leo completed a lesson and gained 15 exp.
4,2024-11-07 14:02:00,leo,gain_exp,20,35,1,2024-11-07 14:02:00 - user leo gained 20 exp from activities.
5,2024-11-07 16:42:00,he,create_study_plan,0,0,1,2024-11-07 16:42:00 - user he created a new study plan.
6,2024-11-03 06:53:00,he,complete_lesson,15,15,1,2024-11-03 06:53:00 - user he completed a lesson and gained 15 exp.
7,2024-11-09 13:24:00,leo,gain_exp,10,45,1,2024-11-09 13:24:00 - user leo gained 10 exp from activities.
8,2024-11-09 05:41:00,leo,gain_exp,20,65,2,2024-11-09 05:41:00 - user leo gained 20 exp from activities.
9,2024-11-02 02:47:00,jay,update_profile,0,0,1,2024-11-02 02:47:00 - user jay updated profile information.
10,2024-11-07 05:45:00,he,create_study_plan,0,15,1,2024-11-07 05:45:00 - user he created a new study plan.
11,2024-11-02 01:52:00,jay,logout,0,0,1,2024-11-02 01:52:00 - user jay logged out.
12,2024-11-04 23:46:00,he,create_study_plan,0,15,1,2024-11-04 23:46:00 - user he created a new study plan.
13,2024-11-05 05:48:00,leo,complete_lesson,5,70,2,2024-11-05 05:48:00 - user leo completed a lesson and gained 5 exp.
14,2024-11-04 16:58:00,leo,gain_exp,20,90,2,2024-11-04 16:58:00 - user leo gained 20 exp from activities.
15,2024-11-10 10:03:00,leo,update_profile,0,90,2,2024-11-10 10:03:00 - user leo updated profile information.
16,2024-11-01 02:16:00,he,gain_exp,20,35,1,2024-11-01 02:16:00 - user he gained 20 exp from activities.
17,2024-11-03 09:19:00,leo,create_study_plan,0,90,2,2024-11-03 09:19:00 - user leo created a new study plan.
18,2024-11-09 03:40:00,he,gain_exp,30,65,2,2024-11-09 03:40:00 - user he gained 30 exp from activities.
19,2024-11-05 08:41:00,he,update_profile,0,65,2,2024-11-05 08:41:00 - user he updated profile information.
20,2024-11-05 05:56:00,leo,update_profile,0,90,2,2024-11-05 05:56:00 - user leo updated profile information.
21,2024-11-09 04:21:00,jay,gain_exp,10,10,1,2024-11-09 04:21:00 - user jay gained 10 exp from activities.
22,2024-11-04 00:36:00,jay,update_profile,0,10,1,2024-11-04 00:36:00 - user jay updated profile information.
23,2024-11-02 12:14:00,jay,create_study_plan,0,10,1,2024-11-02 12:14:00 - user jay created a new study plan.
24,2024-11-04 11:41:00,he,update_profile,0,65,2,2024-11-04 11:41:00 - user he updated profile information.
25,2024-11-01 10:25:00,jay,update_profile,0,10,1,2024-11-01 10:25:00 - user jay updated profile information.
26,2024-11-05 15:36:00,jay,complete_lesson,15,25,1,2024-11-05 15:36:00 - user jay completed a lesson and gained 15 exp.
27,2024-11-02 13:23:00,leo,update_profile,0,90,2,2024-11-02 13:23:00 - user leo updated profile information.
