task_id,user_id,request,task_label,task_summary
1,sara,user sara: Please update my goal role from data analyst to data scientist.,change_target_role,update the user's target role
2,jay,user jay: Can you reactivate my learning schedule?,resume_plan,resume the user's study plan
3,sara,user sara: Can you put my study plan on hold?,pause_plan,pause the user's current study plan
4,mike,user mike: Please restart my paused study plan.,resume_plan,resume the user's study plan
5,jay,user jay: Please update my goal role from data analyst to data scientist.,change_target_role,update the user's target role
6,sara,user sara: Please adjust my study plan to be more focused on data engineering.,adjust_study_plan,adjust the user's study plan
7,mike,user mike: Can you reactivate my learning schedule?,resume_plan,resume the user's study plan
8,mike,user mike: I decided to aim for a backend developer role instead.,change_target_role,update the user's target role
9,mike,user mike: Please shift my study plan focus to interview preparation.,change_focus_area,change the main focus area of the study plan
10,leo,user leo: Can you make my plan focus more on statistics and less on coding?,change_focus_area,change the main focus area of the study plan
11,mike,user mike: Please shift my study plan focus to interview preparation.,change_focus_area,change the main focus area of the study plan
12,mike,user mike: Can you put my study plan on hold?,pause_plan,pause the user's current study plan
13,jay,user jay: I want to resume my study plan now.,resume_plan,resume the user's study plan
14,mike,user mike: I want to clear my current progress and restart the plan.,reset_progress,reset the user's progress tracking
15,jay,user jay: I want to change my target role to machine learning engineer.,change_target_role,update the user's target role
16,mike,user mike: Can you update my schedule so I study fewer hours each week?,change_weekly_hours,update the user's weekly study hours
17,leo,user leo: Please restart my paused study plan.,resume_plan,resume the user's study plan
18,leo,user leo: I want to clear my current progress and restart the plan.,reset_progress,reset the user's progress tracking
19,leo,user leo: Can you update my schedule so I study fewer hours each week?,change_weekly_hours,update the user's weekly study hours
20,mike,user mike: I want new course recommendations based on my profile.,ask_for_recommendations,provide new learning recommendations for the user
21,leo,user leo: I want to adjust my study plan to include more hands-on projects.,adjust_study_plan,adjust the user's study plan
22,mike,user mike: Can you make my plan focus more on statistics and less on coding?,change_focus_area,change the main focus area of the study plan
23,mike,user mike: Please update my goal role from data analyst to data scientist.,change_target_role,update the user's target role
24,mike,user mike: Can you make my plan focus more on statistics and less on coding?,change_focus_area,change the main focus area of the study plan
25,leo,user leo: I need to pause my study plan for a few weeks.,pause_plan,pause the user's current study plan
26,he,user he: Please restart my paused study plan.,resume_plan,resume the user's study plan
27,leo,user leo: I want to change my target role to machine learning engineer.,change_target_role,update the user's target role
28,sara,user sara: Can you wipe my progress and begin from the first module again?,reset_progress,reset the user's progress tracking
29,jay,user jay: Can you reactivate my learning schedule?,resume_plan,resume the user's study plan
30,sara,user sara: I want to change my target role to machine learning engineer.,change_target_role,update the user's target role
31,jay,user jay: Can you make my plan focus more on statistics and less on coding?,change_focus_area,change the main focus area of the study plan
32,leo,user leo: I want to change my main focus to system design.,change_focus_area,change the main focus area of the study plan
33,he,user he: Can you put my study plan on hold?,pause_plan,pause the user's current study plan
34,sara,user sara: I need to change my weekly study hours from 5 to 10.,change_weekly_hours,update the user's weekly study hours
35,jay,user jay: I want to resume my study plan now.,resume_plan,resume the user's study plan
36,leo,user leo: I want to resume my study plan now.,resume_plan,resume the user's study plan
37,mike,user mike: Can you put my study plan on hold?,pause_plan,pause the user's current study plan
38,leo,user leo: Can you tweak my study plan? I feel like I'm learning too many topics at once.,adjust_study_plan,adjust the user's study plan
39,mike,user mike: I need to pause my study plan for a few weeks.,pause_plan,pause the user's current study plan
40,mike,user mike: Please restart my paused study plan.,resume_plan,resume the user's study plan
41,sara,user sara: Please reset all my progress and let me start over.,reset_progress,reset the user's progress tracking
42,mike,user mike: Please adjust my study plan to be more focused on data engineering.,adjust_study_plan,adjust the user's study plan
43,jay,user jay: I want to adjust my study plan to include more hands-on projects.,adjust_study_plan,adjust the user's study plan
44,mike,user mike: I want to change my main focus to system design.,change_focus_area,change the main focus area of the study plan
45,jay,user jay: I need to change my weekly study hours from 5 to 10.,change_weekly_hours,update the user's weekly study hours
46,sara,user sara: I need to change my weekly study hours from 5 to 10.,change_weekly_hours,update the user's weekly study hours
47,jay,user jay: I need to pause my study plan for a few weeks.,pause_plan,pause the user's current study plan
48,mike,user mike: I want to adjust my study plan to include more hands-on projects.,adjust_study_plan,adjust the user's study plan
49,sara,user sara: Can you recommend what I should learn next?,ask_for_recommendations,provide new learning recommendations for the user
50,jay,user jay: Please temporarily stop my current study plan.,pause_plan,pause the user's current study plan
51,sara,user sara: Can you make my plan focus more on statistics and less on coding?,change_focus_area,change the main focus area of the study plan
52,leo,user leo: Can you make my plan focus more on statistics and less on coding?,change_focus_area,change the main focus area of the study plan
53,mike,user mike: I want to adjust my study plan to include more hands-on projects.,adjust_study_plan,adjust the user's study plan
